playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,distance,poss_duration,start_sector,end_sector,playerName,targetName
1802,ST,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,4.19,0.63,8,8,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,4.19,0.63,8,8,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,4.19,0.63,8,8,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,7.82,0.14,8,8,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,7.82,0.14,8,8,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,LOS,0,0,7.82,0.14,8,8,A. Meier,
16520,RW,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,6.54,2.5,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,6.54,2.5,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,6.54,2.5,12,8,S. Aigner,
1770,LW,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,11.06,0.2,12,8,S. Huszti,
1770,LW,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,0,11.06,0.2,12,8,S. Huszti,
1770,LW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,11.06,0.2,12,8,S. Huszti,
1770,LW,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,11.06,0.2,12,8,S. Huszti,
1770,LW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,7.51,0.17,9,5,S. Huszti,
1770,LW,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,7.51,0.17,9,5,S. Huszti,
196633,LB,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,26.75,2.41,10,9,B. Oczipka,
