ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6317268,6308,5302.5,5304.82,15,247,247,196633,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,8570,LB,GK,1,283,203,264.32,307.32,7.41,1,1.0,2.32,1.49
6317273,6308,5304.82,5306.71,247,0,0,8570,TOCNO DODAVANJE,0,0,196633,GK,LB,1,216,302,335.32,280.32,8.36,1,1.0,1.89,0.85
6317275,6308,5306.71,5310.7,247,0,0,196633,TOCNO DODAVANJE,0,0,39442,LB,RCB,2,382,377,193.32,542.32,29.91,2,6.0,3.99,2.13
6317277,6308,5310.7,5317.74,247,0,0,39442,TOCNO DODAVANJE,0,0,21022,RCB,LCB,6,516,478,538.32,316.32,19.27,6,2.0,7.04,4.56
6317278,6308,5317.74,5319.21,247,0,0,21022,TOCNO DODAVANJE,0,0,199745,LCB,LCM,2,482,591,315.32,288.32,9.05,2,2.0,1.47,0.61
6317280,6308,5319.21,5321.04,247,0,0,199745,TOCNO DODAVANJE,0,0,206101,LCM,RB,2,624,851,292.32,238.32,18.81,2,3.0,1.83,0.82
6317290,6308,5336.14,5339.0,247,0,0,196633,TOCNO DODAVANJE,0,0,206101,LB,RB,1,1116,1124,52.32,154.32,8.76,4,4.0,2.86,2.11
6317292,6308,5336.14,5339.0,15,247,247,196633,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,206101,LB,RB,1,1116,1124,52.32,154.32,8.76,4,4.0,2.86,2.11
6317298,6308,5339.0,5339.86,211,248,248,206101,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,110657,RB,RB,1,1151,1211,153.32,148.32,4.84,4,4.0,0.86,0.86
6317299,6308,5339.0,5339.86,15,248,248,206101,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,110657,RB,RB,1,1151,1211,153.32,148.32,4.84,4,4.0,0.86,0.86
6317307,6308,5340.26,5341.03,211,232,232,206101,NIJE IZGUBLJENA,OUT,OUT,0,RB,0,1,1183,1125,148.32,36.32,10.67,4,4.0,0.77,0.0
6317309,6308,5340.26,5341.03,15,232,232,206101,LOPTA PO ZRAKU,OUT,OUT,0,RB,0,1,1183,1125,148.32,36.32,10.67,4,4.0,0.77,0.0
6317326,6308,5361.25,5365.84,247,0,0,21022,TOCNO DODAVANJE,0,0,206101,LCB,RB,1,878,1241,197.32,249.32,29.5,3,4.0,4.59,0.0
6317327,6308,5361.25,5365.84,15,247,247,21022,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,206101,LCB,RB,1,878,1241,197.32,249.32,29.5,3,4.0,4.59,0.0
6317329,6308,5365.84,5367.56,247,0,0,206101,TOCNO DODAVANJE,0,0,16520,RB,RW,1,1233,1154,256.32,422.32,15.58,4,8.0,1.72,0.0
6317369,6308,5398.71,5400.62,247,0,0,21022,TOCNO DODAVANJE,0,0,21022,LCB,LCB,1,513,477,353.32,328.32,3.6,6,2.0,1.91,0.0
6317371,6308,5398.71,5400.62,15,247,247,21022,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,21022,LCB,LCB,1,513,477,353.32,328.32,3.6,6,2.0,1.91,0.0
6317374,6308,5400.62,5402.46,247,0,0,21022,TOCNO DODAVANJE,0,0,39442,LCB,RCB,1,466,362,329.32,322.32,8.37,2,2.0,1.84,0.0
6317375,6308,5400.62,5402.46,15,247,247,21022,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,39442,LCB,RCB,1,466,362,329.32,322.32,8.37,2,2.0,1.84,0.0
6317379,6308,5402.46,5405.53,247,0,0,39442,TOCNO DODAVANJE,0,0,196633,RCB,LB,2,369,370,325.32,146.32,15.34,2,2.0,3.07,1.7
6317380,6308,5402.46,5405.53,15,247,247,39442,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,196633,RCB,LB,2,369,370,325.32,146.32,15.34,2,2.0,3.07,1.7
6317381,6308,5405.53,5408.56,247,0,0,196633,TOCNO DODAVANJE,0,0,8570,LB,GK,1,368,138,128.32,254.32,21.4,2,1.0,3.03,1.39
6317384,6308,5408.56,5414.61,247,0,0,8570,TOCNO DODAVANJE,0,0,1802,GK,CAM,5,206,674,157.32,278.32,39.01,1,2.0,6.05,3.38
6317385,6308,5408.56,5414.61,15,247,247,8570,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,GK,CAM,5,206,674,157.32,278.32,39.01,1,2.0,6.05,3.38
6317393,6308,5414.61,5416.5,15,248,248,1802,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,171186,CAM,LB,1,686,725,279.32,488.32,18.18,2,7.0,1.89,0.0
6317435,6308,5434.78,5441.92,247,0,0,196633,TOCNO DODAVANJE,0,0,206101,LB,RB,7,547,757,133.32,227.32,18.69,2,3.0,7.14,6.04
6317461,6308,5499.07,5500.52,15,248,248,8570,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,201853,GK,RCB,1,118,815,423.32,318.32,56.72,5,3.0,1.45,0.0
